number_of_topic,mean_positive_score,mean_negative_score,mean_neutral_score
5.0,0.42885016362968015,0.20781318058713913,0.3438390912877027
10.0,0.32630493453803544,0.35499656127049367,0.3135211819788137
15.0,0.32243583180007557,0.2674310365349286,0.40772134460311127
20.0,0.2962125790305056,0.2522236279525668,0.4494623694519044
25.0,0.3699288114030894,0.24624806869738106,0.3833825318576433
30.0,0.3039815862433665,0.2799720221894586,0.41594325128890064
35.0,0.2873850972008709,0.2728893962328814,0.4396220938631472
40.0,0.29087481934041604,0.30325591800639096,0.40576758395274887
  
